Title,Journal,Year,Volume,Issue,DOI
"Investment, Financing Constraints, and Internal Capital Markets: Evidence from the Advertising Expenditures of Multinational Firms",REVIEW OF FINANCIAL STUDIES,2009,22,6,10.1093/rfs/hhn059
"Investment, internal funds and public banking in Germany",JOURNAL OF BANKING & FINANCE,2009,33,11,10.1016/j.jbankfin.2009.05.006
"Investment, uncertainty, and liquidity",JOURNAL OF FINANCE,2003,58,5,10.1111/1540-6261.00600
Investor abilities and financial contracting: Evidence from venture capital,JOURNAL OF FINANCIAL INTERMEDIATION,2011,20,4,10.1016/j.jfi.2011.02.001
Investor activism and financial market structure,REVIEW OF FINANCIAL STUDIES,2002,15,1,10.1093/rfs/15.1.289
Investor activism and takeovers,JOURNAL OF FINANCIAL ECONOMICS,2009,92,3,10.1016/j.jfineco.2008.05.005
"Investor attention, overconfidence and category learning",JOURNAL OF FINANCIAL ECONOMICS,2006,80,3,10.1016/j.jfineco.2005.05.003
Investor behavior in mass privatization: The case of the Czech voucher scheme,JOURNAL OF FINANCIAL ECONOMICS,1997,44,3,10.1016/S0304-405X(97)00008-1
Investor flows and the assessed performance of open-end mutual funds,JOURNAL OF FINANCIAL ECONOMICS,1999,53,3,10.1016/S0304-405X(99)00028-8
"Investor heterogeneity, market segmentation, leverage and the equity premium puzzle",JOURNAL OF BANKING & FINANCE,2001,25,10,10.1016/S0378-4266(00)00164-3
Investor Inattention and Friday Earnings Announcements,JOURNAL OF FINANCE,2009,64,2,10.1111/j.1540-6261.2009.01447.x
Investor monitoring and differences in mutual fund performance,JOURNAL OF BANKING & FINANCE,2006,30,10,10.1016/j.jbankfin.2005.11.003
Investor overconfidence and trading volume,REVIEW OF FINANCIAL STUDIES,2006,19,4,10.1093/rfs/hhj032
Investor protection and convertible debt design,JOURNAL OF BANKING & FINANCE,2009,33,6,10.1016/j.jbankfin.2008.10.010
Investor protection and corporate governance,JOURNAL OF FINANCIAL ECONOMICS,2000,58,1-2,10.1016/S0304-405X(00)00065-9
Investor protection and corporate valuation,JOURNAL OF FINANCE,2002,57,3,10.1111/1540-6261.00457
Investor protection and equity markets,JOURNAL OF FINANCIAL ECONOMICS,2002,66,1,10.1016/S0304-405X(02)00149-6
Investor protection and firm liquidity,JOURNAL OF FINANCE,2003,58,2,10.1111/1540-6261.00551
Investor Protection and Interest Group Politics,REVIEW OF FINANCIAL STUDIES,2010,23,3,10.1093/rfs/hhp042
Investor protection and the Coasian view,JOURNAL OF FINANCIAL ECONOMICS,2007,84,3,10.1016/j.jfineco.2005.11.003
Investor protection and the liquidity of cross-listed securities: Evidence from the ADR market,JOURNAL OF BANKING & FINANCE,2006,30,5,10.1016/j.jbankfin.2005.03.021
Investor protection and the value effects of bank merger announcements in Europe and the US,JOURNAL OF BANKING & FINANCE,2008,32,7,10.1016/j.jbankfin.2007.11.008
"Investor protection, prospect theory, and earnings management: An international comparison of the banking industry",JOURNAL OF BANKING & FINANCE,2005,29,10,10.1016/j.jbankfin.2004.10.004
Investor psychology and asset pricing,JOURNAL OF FINANCE,2001,56,4,10.1111/0022-1082.00379
Investor psychology and security market under- and overreactions,JOURNAL OF FINANCE,1998,53,6,10.1111/0022-1082.00077
Investor reaction to salient news in closed-end country funds,JOURNAL OF FINANCE,1998,53,2,10.1111/0022-1082.265570
Investor Reactions to CEOs' Inside Debt Incentives,REVIEW OF FINANCIAL STUDIES,2011,24,11,10.1093/rfs/hhr028
Investor sentiment and option prices,REVIEW OF FINANCIAL STUDIES,2008,21,1,10.1093/rfs/hhm071
Investor sentiment and pre-IPO markets,JOURNAL OF FINANCE,2006,61,3,10.1111/j.1540-6261.2006.00870.x
Investor sentiment and the cross-section of stock returns,JOURNAL OF FINANCE,2006,61,4,10.1111/j.1540-6261.2006.00885.x
Investor sentiment and the mean-variance relation,JOURNAL OF FINANCIAL ECONOMICS,2011,100,2,10.1016/j.jfineco.2010.10.011
Investor sentiment and the stock market's reaction to monetary policy,JOURNAL OF BANKING & FINANCE,2010,34,1,10.1016/j.jbankfin.2009.07.010
Investor sentiment as conditioning information in asset pricing,JOURNAL OF BANKING & FINANCE,2009,33,5,10.1016/j.jbankfin.2008.10.004
"Investor sentiment, executive compensation, and corporate investment",JOURNAL OF BANKING & FINANCE,2010,34,10,10.1016/j.jbankfin.2010.03.020
Investor tax heterogeneity and ex-dividend day trading volume,JOURNAL OF FINANCE,2006,61,1,10.1111/j.1540-6261.2006.00842.x
Investor tax rationality and the relationship between dividend yields and equity returns: An explanatory note,JOURNAL OF BANKING & FINANCE,2001,25,9,10.1016/S0378-4266(00)00150-3
IPO allocations: discriminatory or discretionary?,JOURNAL OF FINANCIAL ECONOMICS,2002,65,2,10.1016/S0304-405X(02)00138-1
IPO auctions and private information,JOURNAL OF BANKING & FINANCE,2007,31,5,10.1016/j.jbankfin.2006.09.004
"IPO auctions: English, Dutch .... French, and Internet",JOURNAL OF FINANCIAL INTERMEDIATION,2002,11,1,10.1006/jfin.2001.0319
IPO market cycles: Bubbles or sequential learning?,JOURNAL OF FINANCE,2002,57,3,10.1111/1540-6261.00458
IPO market timing,REVIEW OF FINANCIAL STUDIES,2005,18,3,10.1093/rfs/hhi022
IPO Pricing and Allocation: A Survey of the Views of Institutional Investors,REVIEW OF FINANCIAL STUDIES,2009,22,4,10.1093/rfs/hhn079
IPO pricing and share allocation: The importance of being ignorant,JOURNAL OF FINANCE,2008,63,1,10.1111/j.1540-6261.2008.01321.x
"IPO pricing in ""hot"" market conditions: Who leaves money on the table?",JOURNAL OF FINANCE,2005,60,1,10.1111/j.1540-6261.2005.00736.x
IPO pricing in the dot-com bubble,JOURNAL OF FINANCE,2003,58,2,10.1111/1540-6261.00543
IPO underpricing and after-market liquidity,REVIEW OF FINANCIAL STUDIES,2006,19,2,10.1093/rfs/hhj018
IPO underpricing as tax-efficient compensation,JOURNAL OF BANKING & FINANCE,1997,21,3,10.1016/S0378-4266(96)00043-X
IPO Underpricing over the Very Long Run,JOURNAL OF FINANCE,2009,64,3,10.1111/j.1540-6261.2009.01468.x
"IPO waves, product market competition, and the going public decision: Theory and evidence",JOURNAL OF FINANCIAL ECONOMICS,2011,101,2,10.1016/j.jfineco.2011.03.009
"IPO-mechanisms, monitoring and ownership structure",JOURNAL OF FINANCIAL ECONOMICS,1998,49,1,10.1016/S0304-405X(98)00017-8
IPOs and long-term relationships: An advantage of book building,REVIEW OF FINANCIAL STUDIES,2000,13,3,10.1093/rfs/13.3.697
IPOs with and without allocation discretion: Empirical evidence,JOURNAL OF FINANCIAL INTERMEDIATION,2011,20,4,10.1016/j.jfi.2010.12.004
IPOs with buy- and sell-side information production: The dark side of open sales,REVIEW OF FINANCIAL STUDIES,2005,18,1,10.1093/rfs/hhi004
"IPOs, acquisitions, and the use of convertible securities in venture capital",JOURNAL OF FINANCIAL ECONOMICS,2006,81,3,10.1016/j.jfineco.2005.06.007
"IPOs, clustering, indirect learning and filing independently",JOURNAL OF BANKING & FINANCE,2009,33,11,10.1016/j.jbankfin.2009.03.016
"IPOs, trade sales and liquidations: Modelling venture capital exits using survival analysis",JOURNAL OF BANKING & FINANCE,2007,31,3,10.1016/j.jbankfin.2006.06.010
IQ and Stock Market Participation,JOURNAL OF FINANCE,2011,66,6,10.1111/j.1540-6261.2011.01701.x
Irish credit unions: Investigating performance determinants and the opportunity cost of regulatory compliance,JOURNAL OF BANKING & FINANCE,2010,34,1,10.1016/j.jbankfin.2009.07.001
Irrational exuberance,JOURNAL OF BANKING & FINANCE,2003,27,4,10.1016/S0378-4266(02)00285-6
"Irreversible investment, managerial discretion and optimal capital structure",JOURNAL OF BANKING & FINANCE,2009,33,4,10.1016/j.jbankfin.2008.11.002
Irving Fisher on the international transmission of booms and depressions through monetary standards,JOURNAL OF MONEY CREDIT AND BANKING,2003,35,1,10.1353/mcb.2003.0002
Is a moral disposition rewarded?,JOURNAL OF BANKING & FINANCE,2002,26,9,10.1016/S0378-4266(02)00192-9
Is all that talk just noise? The information content of Internet stock message boards,JOURNAL OF FINANCE,2004,59,3,10.1111/j.1540-6261.2004.00662.x
Is cash negative debt? A hedging perspective on corporate financial policies,JOURNAL OF FINANCIAL INTERMEDIATION,2007,16,4,10.1016/j.jfi.2007.04.001
Is Chapter 11 costly?,JOURNAL OF FINANCIAL ECONOMICS,2007,84,3,10.1016/j.jfineco.2006.04.001
Is debt relief efficient?,JOURNAL OF FINANCE,2005,60,2,10.1111/j.1540-6261.2005.00754.x
Is default event risk priced in corporate bonds?,REVIEW OF FINANCIAL STUDIES,2005,18,1,10.1093/rfs/hhi009
Is Default Risk Negatively Related to Stock Returns?,REVIEW OF FINANCIAL STUDIES,2010,23,6,10.1093/rfs/hhp107
Is disinflation good for the stock market?,JOURNAL OF FINANCE,2002,57,4,10.1111/1540-6261.00473
Is ethical money financially smart? Nonfinancial attributes and money flows of socially responsible investment funds,JOURNAL OF FINANCIAL INTERMEDIATION,2011,20,4,10.1016/j.jfi.2010.12.003
Is financial globalization beneficial?,JOURNAL OF MONEY CREDIT AND BANKING,2007,39,2-3,10.1111/j.0022-2879.2007.00026.x
Is gold a safe haven? International evidence,JOURNAL OF BANKING & FINANCE,2010,34,8,10.1016/j.jbankfin.2009.12.008
Is group affiliation profitable in emerging markets? An analysis of diversified Indian business groups,JOURNAL OF FINANCE,2000,55,2,10.1111/0022-1082.00229
Is information risk a determinant of asset returns?,JOURNAL OF FINANCE,2002,57,5,10.1111/1540-6261.00493
Is international diversification really beneficial?,JOURNAL OF BANKING & FINANCE,2010,34,1,10.1016/j.jbankfin.2009.07.016
Is intervention a signal of future monetary policy? Evidence from the federal funds futures market,JOURNAL OF MONEY CREDIT AND BANKING,1999,31,1,10.2307/2601139
Is it inefficient investment that causes the diversification discount?,JOURNAL OF FINANCE,2001,56,5,10.1111/0022-1082.00385
"Is it possible that an independent Central Bank is impossible? The case of the Australian notes issue board, 1920-1924",JOURNAL OF MONEY CREDIT AND BANKING,2001,33,3,10.2307/2673891
Is it the weather?,JOURNAL OF BANKING & FINANCE,2008,32,4,10.1016/j.jbankfin.2007.08.004
Is learning a dimension of risk?,JOURNAL OF BANKING & FINANCE,2005,29,10,10.1016/j.jbankfin.2004.10.001
Is market fragmentation harming market quality?,JOURNAL OF FINANCIAL ECONOMICS,2011,100,3,10.1016/j.jfineco.2011.02.006
Is money smart? A study of mutual fund investors' fund selection ability,JOURNAL OF FINANCE,1999,54,3,10.1111/0022-1082.00131
Is nonlinear drift implied by the short end of the term structure?,REVIEW OF FINANCIAL STUDIES,2008,21,1,10.1093/rfs/hhm072
Is nonprice competition in currency inefficient?,JOURNAL OF MONEY CREDIT AND BANKING,1998,30,2,10.2307/2601212
Is purchasing power parity overvalued?,JOURNAL OF MONEY CREDIT AND BANKING,2001,33,3,10.2307/2673895
Is relationship lending special? Evidence from credit-file data in Germany,JOURNAL OF BANKING & FINANCE,1998,22,10-11,10.1016/S0378-4266(98)00063-6
Is size dead? A review of the size effect in equity returns,JOURNAL OF BANKING & FINANCE,2011,35,12,10.1016/j.jbankfin.2011.05.009
Is sound just noise?,JOURNAL OF FINANCE,2001,56,5,10.1111/0022-1082.00393
Is the abnormal return following equity issuances anomalous?,JOURNAL OF FINANCIAL ECONOMICS,2000,56,2,10.1016/S0304-405X(00)00040-4
Is the asymptotic speed of convergence a good proxy for the transitional growth path?,JOURNAL OF MONEY CREDIT AND BANKING,2007,39,1,10.1111/j.0022-2879.2007.00001.x
Is the corporate loan market globally integrated? A pricing puzzle,JOURNAL OF FINANCE,2007,62,6,10.1111/j.1540-6261.2007.01298.x
Is the diversification discount caused by the book value bias of debt?,JOURNAL OF BANKING & FINANCE,2010,34,10,10.1016/j.jbankfin.2010.02.017
Is the evidence for PPP reliable? A sustainability examination of the stationarity of real exchange rates,JOURNAL OF BANKING & FINANCE,2011,35,9,10.1016/j.jbankfin.2011.02.006
Is the exchange rate a shock absorber or a source of shocks? New empirical evidence,JOURNAL OF MONEY CREDIT AND BANKING,2006,38,4,10.1353/mcb.2006.0056
Is the international convergence of capital adequacy regulation desirable?,JOURNAL OF FINANCE,2003,58,6,10.1046/j.1540-6261.2003.00621.x
Is the Internet delivery channel changing banks' performance? The case of Spanish banks,JOURNAL OF BANKING & FINANCE,2007,31,4,10.1016/j.jbankfin.2006.10.011
Is the IPO pricing process efficient?,JOURNAL OF FINANCIAL ECONOMICS,2004,71,1,10.1016/S0304-405X(03)00205-8
Is the Market for Mortgage-Backed Securities a Market for Lemons?,REVIEW OF FINANCIAL STUDIES,2009,22,7,10.1093/rfs/hhn114
Is the market valuation of banks' loan loss provision conditional on auditor reputation?,JOURNAL OF BANKING & FINANCE,2009,33,6,10.1016/j.jbankfin.2008.10.013
Is the performance of firms following seasoned equity issues anomalous?,JOURNAL OF BANKING & FINANCE,2003,27,7,10.1016/S0378-4266(02)00257-1
Is the response of output to monetary policy asymmetric? Evidence from a regime-switching coefficients model,JOURNAL OF MONEY CREDIT AND BANKING,2005,37,5,10.1353/mcb.2005.0054
Is the risk of bankruptcy a systematic risk?,JOURNAL OF FINANCE,1998,53,3,10.1111/0022-1082.00046
Is the short rate drift actually nonlinear?,JOURNAL OF FINANCE,2000,55,1,10.1111/0022-1082.00208
"Is there a cost channel of monetary policy transmission? An investigation into the pricing behavior of 2,000 firms",JOURNAL OF MONEY CREDIT AND BANKING,2006,38,8,10.1353/mcb.2007.0002
Is there a dead spot? New evidence on FOMC decisions before elections,JOURNAL OF MONEY CREDIT AND BANKING,2007,39,6,10.1111/j.1538-4616.2007.00072.x
Is there a diversification discount in financial conglomerates?,JOURNAL OF FINANCIAL ECONOMICS,2007,85,2,10.1016/j.jfineco.2005.06.001
Is there a positive relationship between stock market volatility and the equity premium?,JOURNAL OF MONEY CREDIT AND BANKING,2004,36,3,10.1353/mcb.2004.0055
Is there a single frontier in a single European banking market?,JOURNAL OF BANKING & FINANCE,2007,31,7,10.1016/j.jbankfin.2006.12.004
Is there a tradeoff between bank competition and financial fragility?,JOURNAL OF BANKING & FINANCE,2000,24,12,10.1016/S0378-4266(99)00120-X
Is there an optimal size for the financial sector?,JOURNAL OF BANKING & FINANCE,2000,24,6,10.1016/S0378-4266(99)00113-2
Is there cyclical bias in bank holding company risk ratings?,JOURNAL OF BANKING & FINANCE,2008,32,7,10.1016/j.jbankfin.2007.11.009
Is there discrimination in mortgage pricing? The case of overages,JOURNAL OF BANKING & FINANCE,2003,27,6,10.1016/S0378-4266(02)00250-9
Is there endogenous long-run growth? Evidence from the United States and the United Kingdom,JOURNAL OF MONEY CREDIT AND BANKING,1997,29,2,10.2307/2953677
Is there private information in the FX market? The Tokyo experiment,JOURNAL OF FINANCE,1998,53,3,10.1111/0022-1082.00045
Is three a crowd? Competition among regulators in banking,JOURNAL OF MONEY CREDIT AND BANKING,2003,35,6,10.1353/mcb.2003.0048
Is universal banking justified? Evidence from bank underwriting of corporate bonds in Japan,JOURNAL OF FINANCIAL ECONOMICS,2007,84,1,10.1016/j.jfineco.2006.02.004
Is value riskier than growth?,JOURNAL OF FINANCIAL ECONOMICS,2005,78,1,10.1016/j.jfineco.2004.12.001
Islamic banks and investment financing,JOURNAL OF MONEY CREDIT AND BANKING,2000,32,1,10.2307/2601094
"Island goes dark: Transparency, fragmentation, and regulation",REVIEW OF FINANCIAL STUDIES,2005,18,3,10.1093/rfs/hhi013
Issue costs in the Eurobond market: The effects of market integration,JOURNAL OF BANKING & FINANCE,2006,30,1,10.1016/j.jbankfin.2005.01.005
Issuer surplus and the partial adjustment of IPO prices to public information,JOURNAL OF FINANCIAL ECONOMICS,2005,77,2,10.1016/j.jfineco.2004.05.009
Issues in financial contracting and financial system architecture,JOURNAL OF FINANCIAL INTERMEDIATION,2008,17,1,10.1016/S1042-9573(07)00067-8
Issues in the credit risk modeling of retail markets,JOURNAL OF BANKING & FINANCE,2004,28,4,10.1016/j.jbankfin.2003.10.004
It pays to have friends,JOURNAL OF FINANCIAL ECONOMICS,2009,93,1,10.1016/j.jfineco.2008.07.005
It's SHO Time! Short-Sale Price Tests and Market Quality,JOURNAL OF FINANCE,2009,64,1,10.1111/j.1540-6261.2008.01428.x
Jackknifing bond option prices,REVIEW OF FINANCIAL STUDIES,2005,18,2,10.1093/rfs/hhi018
Japan's banking crisis: An event-study perspective,JOURNAL OF BANKING & FINANCE,2007,31,9,10.1016/j.jbankfin.2007.03.006
Joint effect of financial fragility and macroeconomic shocks on bank loan losses: Evidence from Europe,JOURNAL OF BANKING & FINANCE,2011,35,11,10.1016/j.jbankfin.2011.04.013
Joint implications of consumption and tax smoothing,JOURNAL OF MONEY CREDIT AND BANKING,2005,37,6,10.1353/mcb.2006.0005
Joint size and ownership specialization in bank lending,JOURNAL OF BANKING & FINANCE,2007,31,12,10.1016/j.jbankfin.2007.01.009
Journal influence on the design of finance doctoral education,JOURNAL OF FINANCE,1997,52,5,10.1111/j.1540-6261.1997.tb02752.x
Journal of banking and finance,JOURNAL OF BANKING & FINANCE,2007,31,8,10.1016/j.jbankfin.2007.02.001
Judging fund managers by the company they keep,JOURNAL OF FINANCE,2005,60,3,10.1111/j.1540-6261.2005.00756.x
Judicial Discretion in Corporate Bankruptcy,REVIEW OF FINANCIAL STUDIES,2010,23,11,10.1093/rfs/hhq079
"Jump risk, stock returns, and slope of implied volatility smile",JOURNAL OF FINANCIAL ECONOMICS,2011,99,1,10.1016/j.jfineco.2010.08.011
Jumps in Financial Markets: A New Nonparametric Test and Jump Dynamics,REVIEW OF FINANCIAL STUDIES,2008,21,6,10.1093/rfs/hhm056
Just another day in the inter-bank foreign exchange market,JOURNAL OF FINANCIAL ECONOMICS,2000,56,1,10.1016/S0304-405X(99)00058-6
Just How Much Do Individual Investors Lose by Trading ?,REVIEW OF FINANCIAL STUDIES,2009,22,2,10.1093/rfs/hhn046
Labor and Corporate Governance: International Evidence from Restructuring Decisions,JOURNAL OF FINANCE,2009,64,1,10.1111/j.1540-6261.2008.01436.x
Labor income and predictable stock returns,REVIEW OF FINANCIAL STUDIES,2006,19,1,10.1093/rfs/hhj006
Labor income and risky assets under market incompleteness: Evidence from Italian data,JOURNAL OF BANKING & FINANCE,2002,26,2-3,10.1016/S0378-4266(01)00236-9
Labor income dynamics at business-cycle frequencies: Implications for portfolio choice,JOURNAL OF FINANCIAL ECONOMICS,2011,101,2,10.1016/j.jfineco.2011.03.005
"Labor market frictions, indeterminacy, and interest rate rules",JOURNAL OF MONEY CREDIT AND BANKING,2006,38,7,10.1353/mcb.2006.0098
"Labor unions, bargaining power and corporate bond yield spreads: Structural credit model perspectives",JOURNAL OF BANKING & FINANCE,2011,35,8,10.1016/j.jbankfin.2011.01.013
Laddering in initial public offerings,JOURNAL OF FINANCIAL ECONOMICS,2007,85,1,10.1016/j.jfineco.2006.05.008
Land and Credit: A Study of the Political Economy of Banking in the United States in the Early 20th Century,JOURNAL OF FINANCE,2011,66,6,10.1111/j.1540-6261.2011.01694.x
LAPM: A liquidity-based asset pricing model,JOURNAL OF FINANCE,2001,56,5,10.1111/0022-1082.00391
Large market shocks and abnormal closed-end-fund price behaviour,JOURNAL OF BANKING & FINANCE,2006,30,9,10.1016/j.jbankfin.2005.10.008
Large Shareholder Diversification and Corporate Risk-Taking,REVIEW OF FINANCIAL STUDIES,2011,24,11,10.1093/rfs/hhr065
Large Shareholders and Corporate Policies,REVIEW OF FINANCIAL STUDIES,2009,22,10,10.1093/rfs/hhn093
Large shareholders as monitors: Is there a trade-off between liquidity and control?,JOURNAL OF FINANCE,1998,53,1,10.1111/0022-1082.35053
"Large traders, hidden arbitrage, and complete markets",JOURNAL OF BANKING & FINANCE,2005,29,11,10.1016/j.jbankfin.2005.02.005
Larger board size and decreasing firm value in small firms,JOURNAL OF FINANCIAL ECONOMICS,1998,48,1,10.1016/S0304-405X(98)00003-8
"Latent liquidity: A new measure of liquidity, with an application to corporate bonds",JOURNAL OF FINANCIAL ECONOMICS,2008,88,2,10.1016/j.jfineco.2007.02.006
"Law, endowments, and finance",JOURNAL OF FINANCIAL ECONOMICS,2003,70,2,10.1016/S0304-405X(03)00144-2
"Law, Finance, and Economic Growth",JOURNAL OF FINANCIAL INTERMEDIATION,1999,8,1-2,10.1006/jfin.1998.0255
"Law, finance, and economic growth in China",JOURNAL OF FINANCIAL ECONOMICS,2005,77,1,10.1016/j.jfineco.2004.06.010
"Law, finance, and firm growth",JOURNAL OF FINANCE,1998,53,6,10.1111/0022-1082.00084
Layoffs and underwritten rights offers,JOURNAL OF FINANCIAL ECONOMICS,1997,43,1,10.1016/S0304-405X(96)00876-8
"Lazy investors, discretionary consumption, and the cross-section of stock returns",JOURNAL OF FINANCE,2007,62,4,10.1111/j.1540-6261.2007.01253.x
Leads and lags in sovereign credit ratings,JOURNAL OF BANKING & FINANCE,2010,34,11,10.1016/j.jbankfin.2010.05.001
Leaning for the tape: Evidence of gaming behavior in equity mutual funds,JOURNAL OF FINANCE,2002,57,2,10.1111/1540-6261.00438
LEAPS introductions and the value of the underlying stocks,JOURNAL OF FINANCIAL INTERMEDIATION,2006,15,4,10.1016/j.jfi.2005.09.002
Learning about internal capital markets from corporate spin-offs,JOURNAL OF FINANCE,2002,57,6,10.1111/1540-6261.00503
Learning about predictability: The effects of parameter uncertainty on dynamic asset allocation,JOURNAL OF FINANCE,2001,56,1,10.1111/0022-1082.00323
Learning about the Term Structure and Optimal Rules for Inflation Targeting,JOURNAL OF MONEY CREDIT AND BANKING,2011,43,8,10.1111/j.1538-4616.2011.00463.x
Learning and Asset Prices Under Ambiguous Information,REVIEW OF FINANCIAL STUDIES,2008,21,6,10.1093/rfs/hhm035
Learning and Asset-price Jumps,REVIEW OF FINANCIAL STUDIES,2011,24,8,10.1093/rfs/hhr023
Learning by observing: Information spillovers in the execution and valuation of commercial bank M&As,JOURNAL OF FINANCE,2007,62,1,10.1111/j.1540-6261.2007.01205.x
Learning by Trading,REVIEW OF FINANCIAL STUDIES,2010,23,2,10.1093/rfs/hhp060
Learning from a rival bank and lending boom,JOURNAL OF FINANCIAL INTERMEDIATION,2006,15,4,10.1016/j.jfi.2005.10.002
Learning from Prices and the Dispersion in Beliefs,REVIEW OF FINANCIAL STUDIES,2011,24,9,10.1093/rfs/hhr050
Learning to be overconfident,REVIEW OF FINANCIAL STUDIES,2001,14,1,10.1093/rfs/14.1.1
"Learning, asset-pricing tests, and market efficiency",JOURNAL OF FINANCE,2002,57,3,10.1111/1540-6261.00456
"Leasing, Ability to Repossess, and Debt Capacity",REVIEW OF FINANCIAL STUDIES,2009,22,4,10.1093/rfs/hhn026
Legal determinants of external finance,JOURNAL OF FINANCE,1997,52,3,10.1111/j.1540-6261.1997.tb02727.x
Legal insider trading and market efficiency,JOURNAL OF BANKING & FINANCE,2008,32,7,10.1016/j.jbankfin.2007.11.003
Lender certification premiums,JOURNAL OF BANKING & FINANCE,2003,27,8,10.1016/S0378-4266(02)00278-9
Lender liability and large investors,JOURNAL OF FINANCIAL INTERMEDIATION,2001,10,2,10.1006/jfin.2001.0312
Lender of last resort policy: What reforms are necessary?,JOURNAL OF FINANCIAL INTERMEDIATION,2010,19,2,10.1016/j.jfi.2009.09.002
Lending behavior and real estate prices,JOURNAL OF BANKING & FINANCE,2011,35,9,10.1016/j.jbankfin.2011.02.001
Lending booms and lending standards,JOURNAL OF FINANCE,2006,61,5,10.1111/j.1540-6261.2006.01065.x
Lending Relationships and Information Rents: Do Banks Exploit Their Information Advantages?,REVIEW OF FINANCIAL STUDIES,2010,23,3,10.1093/rfs/hhp080
Lending Relationships and Loan Contract Terms,REVIEW OF FINANCIAL STUDIES,2011,24,4,10.1093/rfs/hhp064
Lending relationships in Germany - Empirical evidence from survey data,JOURNAL OF BANKING & FINANCE,1998,22,10-11,10.1016/S0378-4266(98)00061-2
Lending relationships in line-of-credit and nonline-of-credit loans: Evidence from collateral use in small business,JOURNAL OF FINANCIAL INTERMEDIATION,2006,15,1,10.1016/j.jfi.2005.07.002
Lending relationships in the interbank market,JOURNAL OF FINANCIAL INTERMEDIATION,2009,18,1,10.1016/j.jfi.2008.06.003
Lessons from the JMCB Archive,JOURNAL OF MONEY CREDIT AND BANKING,2006,38,4,10.1353/mcb.2006.0061
Lessons from the Tequila Crisis,JOURNAL OF BANKING & FINANCE,1999,23,10,10.1016/S0378-4266(99)00029-1
Lessons from the Tequila Crisis for successful financial liberalization,JOURNAL OF BANKING & FINANCE,1999,23,10,10.1016/S0378-4266(99)00025-4
Let's make a deal! How shareholder control impacts merger payoffs,JOURNAL OF FINANCIAL ECONOMICS,2005,76,1,10.1016/j.jfineco.2004.11.001
Level Playing Fields in International Financial Regulation,JOURNAL OF FINANCE,2009,64,3,10.1111/j.1540-6261.2009.01460.x
Leverage and corporate performance: Evidence from unsuccessful takeovers,JOURNAL OF FINANCE,1999,54,2,10.1111/0022-1082.00117
Leverage and internal capital markets: evidence from leveraged recapitalizations,JOURNAL OF FINANCIAL ECONOMICS,2001,59,3,10.1016/S0304-405X(00)00094-5
Leverage and investment in diversified firms,JOURNAL OF FINANCIAL ECONOMICS,2006,79,2,10.1016/j.jfineco.2005.03.002
Leverage Choice and Credit Spreads when Managers Risk Shift,JOURNAL OF FINANCE,2010,65,6,10.1111/j.1540-6261.2010.01617.x
Leverage Constraints and the International Transmission of Shocks,JOURNAL OF MONEY CREDIT AND BANKING,2010,42,6,10.1111/j.1538-4616.2010.00330.x
Leverage decision and manager compensation with choice of effort and volatility,JOURNAL OF FINANCIAL ECONOMICS,2004,73,1,10.1016/j.jfineco.2003.06.003
"Leverage, Moral Hazard, and Liquidity",JOURNAL OF FINANCE,2011,66,1,10.1111/j.1540-6261.2010.01627.x
Leveraged carry trade portfolios,JOURNAL OF BANKING & FINANCE,2009,33,5,10.1016/j.jbankfin.2008.10.007
Levered Returns,JOURNAL OF FINANCE,2010,65,2,10.1111/j.1540-6261.2009.01541.x
Liars never prosper? How management misrepresentation reduces monitoring costs,JOURNAL OF FINANCIAL INTERMEDIATION,1997,6,4,10.1006/jfin.1997.0223
Life-cycle portfolio choice with additive habit formation preferences and uninsurable labor income risk,REVIEW OF FINANCIAL STUDIES,2007,20,1,10.1093/rfs/hhl006
Lifting the veil of secrecy from monetary policy: Evidence from the Fed's early discount rate policy,JOURNAL OF MONEY CREDIT AND BANKING,2000,32,2,10.2307/2601236
Lifting the veil: An analysis of pre-trade transparency at the NYSE,JOURNAL OF FINANCE,2005,60,2,10.1111/j.1540-6261.2005.00746.x
Likelihood-based specification analysis of continuous-time models of the short-term interest rate,JOURNAL OF FINANCIAL ECONOMICS,2003,70,3,10.1016/S0304-405X(03)00207-1
Limit order book as a market for liquidity,REVIEW OF FINANCIAL STUDIES,2005,18,4,10.1093/rfs/hhi029
Limit order revisions,JOURNAL OF BANKING & FINANCE,2010,34,8,10.1016/j.jbankfin.2009.12.010
Limit orders and the alleged Nasdaq collusion,JOURNAL OF FINANCIAL ECONOMICS,1997,45,1,10.1016/S0304-405X(97)00012-3
Limit orders and the bid-ask spread,JOURNAL OF FINANCIAL ECONOMICS,1999,53,2,10.1016/S0304-405X(99)00022-7
"Limit orders, depth, and volatility: Evidence from the stock exchange of Hong Kong",JOURNAL OF FINANCE,2001,56,2,10.1111/0022-1082.00345
Limit-order submission strategies under asymmetric information,JOURNAL OF BANKING & FINANCE,2010,34,11,10.1016/j.jbankfin.2010.05.007
Limited arbitrage and short sales restrictions: evidence from the options markets,JOURNAL OF FINANCIAL ECONOMICS,2004,74,2,10.1016/j.jfineco.2003.05.008
Limited arbitrage in equity markets,JOURNAL OF FINANCE,2002,57,2,10.1111/1540-6261.00434
Limited arbitrage in mergers and acquisitions,JOURNAL OF FINANCIAL ECONOMICS,2002,64,1,10.1016/S0304-405X(02)00072-7
