original affiliation,alias
INSTITUTO VALENCIANO DE IVESTIGACIONES ECONOMICAS (IVIE) VALENCIA,VALENCIAN INSTITUTE OF ECONOMIC RESEARCH
INSTITUTO Y UNIVERSIDAD TORCUATO DI TELLA,TORCUATO DI TELLA UNIVERSITY
INSURANCE & REAL ESTATE VIRGINIA COMMONWEALTH UNIVERSITY,VIRGINIA COMMONWEALTH UNIVERSITY
INSURANCE AND BUSINESS LAW PAMPLIN COLLEGE OF BUSINESS VIRGINIA POLYTECHNIC INSTITUTE AND STATE UNIVERSITY,VIRGINIA POLYTECHNIC INSTITUTE AND STATE UNIVERSITY
INSURANCE AND BUSINESS LAW PAMPLIN COLLEGE OF BUSINESS VIRGINIA TECH,VIRGINIA POLYTECHNIC INSTITUTE AND STATE UNIVERSITY
INSURANCE AND BUSINESS LAW VIRGINIA POLYTECHNIC INSTITUTE & STATE UNIVERSITY,VIRGINIA POLYTECHNIC INSTITUTE AND STATE UNIVERSITY
INSURANCE AND BUSINESS LAW VIRGINIA TECH,VIRGINIA POLYTECHNIC INSTITUTE AND STATE UNIVERSITY
INSURANCE AND LAW ILLINOIS STATE UNIVERSITY,ILLINOIS STATE UNIVERSITY
INSURANCE AND LAW PAMPLIN COLLEGE OF BUSINESS VIRGINIA TECH,VIRGINIA POLYTECHNIC INSTITUTE AND STATE UNIVERSITY
INSURANCE AND REAL ESTATE COLLEGE OF BUSINESS AND ECONOMICS WASHINGTON STATE UNIVERSITY,WASHINGTON STATE UNIVERSITY
INSURANCE AND REAL ESTATE COLLEGE OF BUSINESS WASHINGTON STATE UNIVERSITY,WASHINGTON STATE UNIVERSITY
INSURANCE AND REAL ESTATE FOGELMAN COLLEGE OF BUSINESS AND ECONOMICS THE UNIVERSITY OF MEMPHIS,UNIVERSITY OF MEMPHIS
INSURANCE AND REAL ESTATE GRADUATE SCHOOL OF BUSINESS ADMINISTRATION UNIVERSITY OF FLORIDA,UNIVERSITY OF FLORIDA
INSURANCE AND REAL ESTATE SCHOOL OF BUSINESS VIRGINIA COMMONWEALTH UNIVERSITY,VIRGINIA COMMONWEALTH UNIVERSITY
INSURANCE AND REAL ESTATE UNIVERSITY OF FLORIDA,UNIVERSITY OF FLORIDA
INSURANCE AND REAL ESTATE UNIVERSITY OF MEMPHIS,UNIVERSITY OF MEMPHIS
INSURANCE AND REAL ESTATE VIRGINIA COMMONWEALTH UNIVERSITY,VIRGINIA COMMONWEALTH UNIVERSITY
INSURANCE AND REAL ESTATE WARRINGTON COLLEGE OF BUSINESS ADMINISTRATION,UNIVERSITY OF FLORIDA
INSURANCE AND REAL ESTATE WARRINGTON COLLEGE OF BUSINESS ADMINISTRATION UNIVERSITY OF FLORIDA,UNIVERSITY OF FLORIDA
INSURANCE AND REAL ESTATE WASHINGTON STATE UNIVERITY,WASHINGTON STATE UNIVERSITY
INSURANCE AND REAL ESTATE WASHINGTON STATE UNIVERSITY,WASHINGTON STATE UNIVERSITY
INSURANCE REAL STATE AND LAW COLLEGE OF BUSINESS UNIVERSITY OF NORTH TEXAS,UNIVERSITY OF NORTH TEXAS
INT L BUSINESS AND INSURANCE HOWARD UNIVERSITY,HOWARD UNIVERSITY
INTEMATIONAL MONETARY FUND,INTERNATIONAL MONETARY FUND
INTENATIONAL MONETARY FUND,INTERNATIONAL MONETARY FUND
INTER AMERICAN DEVELOPMENT BANK,INTER-AMERICAN DEVELOPMENT BANK
INTER DISCIPLINARY CENTER IN HERTZELIA (IDC),INTERDISCIPLINARY CENTER HERZLIYA
INTER-AMERICAN DEVELOPMENT BANK,INTER-AMERICAN DEVELOPMENT BANK
INTERDICIPLINARY CENTER (IDC) HERZLIYA ISRAEL,INTERDISCIPLINARY CENTER HERZLIYA
INTERDISCIPLINARY CENTER,INTERDISCIPLINARY CENTER HERZLIYA
INTERDISCIPLINARY CENTER (IDC),INTERDISCIPLINARY CENTER HERZLIYA
INTERDISCIPLINARY CENTER HERTZLIA,INTERDISCIPLINARY CENTER HERZLIYA
INTERDISCIPLINARY CENTER HERZELIA,INTERDISCIPLINARY CENTER HERZLIYA
INTERDISCIPLINARY CENTER HERZLIYA,INTERDISCIPLINARY CENTER HERZLIYA
INTERDISCIPLINARY CENTER HERZLIYA (IDC),INTERDISCIPLINARY CENTER HERZLIYA
INTERDISCIPLINARY CENTER HERZLYIA,INTERDISCIPLINARY CENTER HERZLIYA
INTERDISCIPLINARY CENTER HERZLYIA ISRAEL,INTERDISCIPLINARY CENTER HERZLIYA
INTERDISCIPLINARY CENTER IN HERZLIYA,INTERDISCIPLINARY CENTER HERZLIYA
INTERDISCIPLINARY CENTER OF HERZLIYA,INTERDISCIPLINARY CENTER HERZLIYA
INTERDISCIPLINARY CENTER OF HERZLYIA IN ISRAEL,INTERDISCIPLINARY CENTER HERZLIYA
INTERNAL REVENUE SERVICE,US INTERNAL REVENUE SERVICE
INTERNATIONAL BANKING SECTION AT THE BOARD OF GOVERNORS OF THE FEDERAL RESERVE SYSTEM,BOARD OF GOVERNORS OF THE FEDERAL RESERVE SYSTEM
INTERNATIONAL BUSINESS SCHOOL BRANDEIS UNIVERSITY,BRANDEIS UNIVERSITY
INTERNATIONAL CENTER FAME,SWISS FINANCE INSTITUTE
INTERNATIONAL CENTER FAME GENEVA,SWISS FINANCE INSTITUTE
INTERNATIONAL CENTER FOR FINANCE (ICF) AT YALE SCHOOL OF MANAGEMENT,YALE UNIVERSITY
INTERNATIONAL CENTER FOR FINANCE AT THE YALE SCHOOL OF MANAGEMENT,YALE UNIVERSITY
INTERNATIONAL CENTER FOR FINANCE AT YALE,YALE UNIVERSITY
INTERNATIONAL CENTER FOR FINANCE YALE SCHOOL OF MANAGEMENT,YALE UNIVERSITY
INTERNATIONAL CENTER FOR FINANCIAL ASSET MANAGEMENT,YALE UNIVERSITY
INTERNATIONAL CENTRE FOR ECONOMIC RESEARCH ICER TORINO,INTERNATIONAL CENTRE FOR ECONOMIC RESEARCH
INTERNATIONAL CENTRE FOR ECONOMIC RESEARCH TURIN,INTERNATIONAL CENTRE FOR ECONOMIC RESEARCH
INTERNATIONAL COLLEGE OF ECONOMICS AND FINANCE SU-HSE MOSCOW,HIGHER SCHOOL OF ECONOMICS
INTERNATIONAL COLLEGE OF ECONOMICS FINANCE SU-HSE,HIGHER SCHOOL OF ECONOMICS
INTERNATIONAL CONSULTING FIRM FINANCIAL RISK ADVISORY,-
INTERNATIONAL DEPARTMENT BANK OF CANADA,BANK OF CANADA
INTERNATIONAL FINANCE CORPORATION,INTERNATIONAL FINANCE CORPORATION
INTERNATIONAL FINANCE CORPORATION WASHINGTON,INTERNATIONAL FINANCE CORPORATION
INTERNATIONAL FINANCE DIVISION BANK OF ENGLAND,BANK OF ENGLAND
INTERNATIONAL FINANCE DIVISION OF THE BOARD OF GOVERNORS OF THE FEDERAL RESERVE SYSTEM,BOARD OF GOVERNORS OF THE FEDERAL RESERVE SYSTEM
INTERNATIONAL FINANCE DIVISION OF THE BOARD OF GOVERNORS OF THE US FEDERAL RESERVE,BOARD OF GOVERNORS OF THE FEDERAL RESERVE SYSTEM
INTERNATIONAL FINANCE DIVISION OF THE FEDERAL RESERVE BOARD,BOARD OF GOVERNORS OF THE FEDERAL RESERVE SYSTEM
INTERNATIONAL MONETARY FUND,INTERNATIONAL MONETARY FUND
INTERNATIONAL MONETARY FUND (IMF),INTERNATIONAL MONETARY FUND
INTERNATIONAL MONETARY FUND RESEARCH DEPARTMENT,INTERNATIONAL MONETARY FUND
INTERNATIONAL MONETARY FUND UNIVERSITY OF AMSTERDAM,INTERNATIONAL MONETARY FUND
INTERNATIONAL MONETARY FUND WASHINGTON,INTERNATIONAL MONETARY FUND
INTERNATIONAL MONETARY FUND/WORLD BANK,INTERNATIONAL MONETARY FUND
INTERNATIONAL MONITARY FUND,INTERNATIONAL MONETARY FUND
INTERNATIONAL RELATIONS AREA,INTERNATIONAL MONETARY FUND
INTERNATIONAL UNIVERSITY OF JAPAN,INTERNATIONAL UNIVERSITY OF JAPAN
INVESCO GLOBAL ASSET MANAGEMENT,INVESCO GLOBAL ASSET MANAGEMENT
INVESTMENT AND QUANTITATIVE RESEARCH CANTONAL BANK OF ZURICH,CANTONAL BANK OF ZURICH
INVESTMENT BANKING DIVISION SALOMON SMITH BARNEY,NIKKO CITIGROUP
INVESTMENT COMPANY INSTITUTE,INVESTMENT COMPANY INSTITUTE
INVESTMENT MANAGEMENT RESEARCH UNIT CARDIFF BUSINESS SCHOOL,UNIVERSITY OF WALES
IONA COLLEGE,IONA COLLEGE
IOWA,UNIVERSITY OF IOWA
IOWA STATE,IOWA STATE UNIVERSITY
IOWA STATE UNIVERSITY,IOWA STATE UNIVERSITY
IOWA STATE UNIVERSITY COLLEGE OF BUSINESS,IOWA STATE UNIVERSITY
IOWA STATE UNIVERSITY DEPARTMENT OF FINANCE,IOWA STATE UNIVERSITY
IOWA UNIVERSITY,UNIVERSITY OF IOWA
IRES,UNIVERSITE CATHOLIQUE DE LOUVAIN
IRVINE,"UNIVERSITY OF CALIFORNIA, IRVINE"
ISAAC NEWTON INSTITUTE,ISAAC NEWTON INSTITUTE
ISAAC NEWTON INSTITUTE AT CAMBRIDGE UNIVERSITY,UNIVERSITY OF CAMBRIDGE
ISAE,INSTITUT SUPERIEUR DE L'AERONAUTIQUE ET DE L'ESPACE
ISB,INDIAN SCHOOL OF BUSINESS
ISB IN HYDERABAD,INDIAN SCHOOL OF BUSINESS
ISB SWISS BANKING INSTITUTE UNIVERSITY OF ZURICH,UNIVERSITY OF ZURICH
ISC PARIS SCHOOL OF MANAGEMENT DEPARTMENT OF ECONOMICS,ISC PARIS SCHOOL OF MANAGEMENT
ISCTE,LISBON UNIVERSITY INSTITUTE
ISCTE (PORTUGAL),LISBON UNIVERSITY INSTITUTE
ISCTE BUSINESS SCHOOL,LISBON UNIVERSITY INSTITUTE
ISCTE BUSINESS SCHOOL (LISBON),LISBON UNIVERSITY INSTITUTE
ISCTE BUSINESS SCHOOL IN LISBON,LISBON UNIVERSITY INSTITUTE
ISCTE BUSINESS SCHOOL LISBON,LISBON UNIVERSITY INSTITUTE
ISCTE BUSINESS SCHOOL-LISBON,LISBON UNIVERSITY INSTITUTE
ISCTE BUSINESS SCHOOL-LISBON CEMAF,LISBON UNIVERSITY INSTITUTE
ISCTE LISBON,LISBON UNIVERSITY INSTITUTE
ISCTE SCHOOL OF BUSINESS IN LISBON,LISBON UNIVERSITY INSTITUTE
ISE DEPARTMENT UNIVERSITY OF FLORIDA,UNIVERSITY OF FLORIDA
ISEG,TECHNICAL UNIVERSITY OF LISBON
ISEG (TECHNICAL UNIVERSITY OF LISBON),TECHNICAL UNIVERSITY OF LISBON
ISEG/UNIVERSIDADE TECNICA DE LISBOA,TECHNICAL UNIVERSITY OF LISBON
ISENBERG SCHOOL OF MANAGEMENT UNIVERSITY OF MASSACHUSETTS,UNIVERSITY MASSACHUSETTS
ISENBERG SCHOOL OF MANAGEMENT UNIVERSITY OF MASSACHUSETTS AMHERST,UNIVERSITY MASSACHUSETTS
ISFA ACTUARIAL SCHOOL UNIVERSITE LYON 1,UNIVERSITY OF LYON
ISI DELHI,INDIAN STATISTICAL INSTITUTE
ISIG KAIROUAN UNIVERSITY,KAIROUAN UNIVERSITY
ISK VIENNA,INSTITUT FUER STRATEGISCHE KAPITALMARKTFORSCHUNG WIEN
ISMA CENTRE DEPARTMENT OF ECONOMICS UNIVERSITY OF READING,UNIVERSITY OF READING
ISMA CENTRE READING UNIVERSITY,UNIVERSITY OF READING
ISMA CENTRE SCHOOL OF BUSINESS UNIVERSITY OF READING,UNIVERSITY OF READING
ISMA CENTRE THE UNIVERSITY OF READING UNITED KINGDOM,UNIVERSITY OF READING
ISMA CENTRE UNIVERSITY OF READING,UNIVERSITY OF READING
ISMA CENTRE UNIVERSITY OF READING UNITED KINGDOM,UNIVERSITY OF READING
ISMA RESEARCH CENTRE,BOCCONI UNIVERSITY
ISRAEL INSTITUTE OF BUSINESS RESEARCH AT TEL AVIV UNIVERSITY,TEL AVIV UNIVERSITY
ISRAEL SECURITIES AUTHORITY,ISRAEL SECURITIES AUTHORITY
ISRAEL SECURITIES AUTHORITY JERUSALEM,ISRAEL SECURITIES AUTHORITY
ISRAELI CENTRE FOR ACADEMIC STUDIES,ISRAELI CENTRE FOR ACADEMIC STUDIES
ISTANBUL BILGI UNIVERSITY,ISTANBUL BILGI UNIVERSITY
ISTCE (LISBON),LISBON UNIVERSITY INSTITUTE
ISTE,ISTE
ISTITUTO DI ECONOMIA POLITICA UNIVERSITA COMMERCIALE L BOCCONI,BOCCONI UNIVERSITY
ITALIAN ANTITRUST AUTHORITY,ITALIAN ANTITRUST AUTHORITY
ITALIAN BANKING ASSOCIATION ECONOMIC RESEARCH DEPARTMENT,ITALIAN BANKING ASSOCIATION
ITALIAN EXCHANGE,ITALIAN EXCHANGE
ITALIAN FOREIGN BANKS ASSOCIATION,ITALIAN FOREIGN BANKS ASSOCIATION
ITAM,INSTITUTO TECNOLOGICO AUTONOMO DE MEXICO
ITAM (MEXICO CITY),INSTITUTO TECNOLOGICO AUTONOMO DE MEXICO
ITG INC IN BOSTON MA,ITG
ITHACA COLLEGE,ITHACA COLLEGE
IUAV UNIVERSITY VENICE,IUAV UNIVERSITY VENICE
IUF,INSTITUT UNIVERSITAIRE FRANCAISE
IUI,RESEARCH INSTITUTE OF INDUSTRIAL ECONOMICS
IUI (STOCKHOLM),RESEARCH INSTITUTE OF INDUSTRIAL ECONOMICS
IUI STOCKHOLM,RESEARCH INSTITUTE OF INDUSTRIAL ECONOMICS
IUPUI,INDIANA UNIVERSITY-PURDUE UNIVERSITY INDIANAPOLIS
IVIE,VALENCIAN INSTITUTE OF ECONOMIC RESEARCH
IWAKI MEISEI UNIVERSITY,IWAKI MEISEI UNIVERSITY
IXIS CAPITAL MARKETS,NATIXIS CAPITAL MARKETS
IZA,INSTITUTE FOR THE STUDY OF LABOR
IZA (BONN),INSTITUTE FOR THE STUDY OF LABOR
IZA BONN,INSTITUTE FOR THE STUDY OF LABOR
J L KELLOGG GRADUATE SCHOOL OF MANAGEMENT NORTHWESTERN UNIVERSITY,NORTHWESTERN UNIVERSITY
J M TULL SCHOOL OF ACCOUNTING UNIVERSITY OF GEORGIA,UNIVERSITY OF GEORGIA
J MACK ROBINSON COLLEGE OF BUSINESS,GEORGIA STATE UNIVERSITY
J MACK ROBINSON COLLEGE OF BUSINESS GEORGIA STATE UNIVERSITY,GEORGIA STATE UNIVERSITY
J P MORGAN INVESTMENT MANAGEMENT,J.P. MORGAN
JACKSON HOLE FINANCE GROUP,JACKSON HOLE FINANCE GROUP
JAMES J NANCE COLLEGE OF BUSINESS ADMINISTRATION CENTER FOR STUDY OF REAL ESTATE BROKERAGE & MARKETS CLEVELAND STATE UNIVERSITY,CLEVELAND STATE UNIVERSITY
JAMES MADISON UNIVERSITY,JAMES MADISON UNIVERSITY
JAPAN DEVELOPMENT BANK,JAPAN DEVELOPMENT BANK
JAPAN SOCIETY FOR THE PROMOTION OF SCIENCE,JAPAN SOCIETY FOR THE PROMOTION OF SCIENCE
JAPAN STATISTICAL INSTITUTE,JAPAN STATISTICAL INSTITUTE
JAPANESE BANKERS ASSOCIATION,JAPANESE BANKERS ASSOCIATION
JAUME I UNIVERSITY,JAUME I UNIVERSITY
JAWAHARLAL NEHRU UNIVERSITY,JAWAHARLAL NEHRU UNIVERSITY
JAWARTHARIAL NEHRU UNIVERSITY (DELHI),JAWAHARLAL NEHRU UNIVERSITY
JE ROBERTS COMPANIES LONG VIEW,JE ROBERTS COMPANIES LONG VIEW
JEROME LEVY ECONOMICS INSTITUTE OF BARD COLLEGE,BARD COLLEGE
JERUSALEM,HEBREW UNIVERSITY OF JERUSALEM
JERUSALEM COLLEGE OF TECHNOLOGY,JERUSALEM COLLEGE OF TECHNOLOGY
JERUSALEM SCHOOL OF BUSINESS ADMINISTRATION HEBREW UNIVERSITY,HEBREW UNIVERSITY OF JERUSALEM
JERUSALEM SCHOOL OF BUSINESS ADMINISTRATION THE HEBREW UNIVERSITY,HEBREW UNIVERSITY OF JERUSALEM
JERUSALEM SCHOOL OF BUSINESS ADMINISTRATION THE HEBREW UNIVERSITY OF JERUSALEM,HEBREW UNIVERSITY OF JERUSALEM
JERUSALEM SCHOOL OF BUSINESS HEBREW UNIVERSITY OF JERUSALEM,HEBREW UNIVERSITY OF JERUSALEM
JESSE H JONES GRADUATE SCHOOL OF BUSINESS RICE UNIVERSITY,RICE UNIVERSITY
JESSE H JONES GRADUATE SCHOOL OF MANAGEMENT RICE UNIVERSITY,RICE UNIVERSITY
JGSM-SAGE HALL CORNELL UNIVERSITY,CORNELL UNIVERSITY
JIAO TONG UNIVERSITY,SHANGHAI JIAO TONG UNIVERSITY
JINHE CENTER FOR ECONOMIC RESEARCH XI'AN JIAOTONG UNIVERSITY,XI'AN JIAOTONG UNIVERSITY
JL KELLOGG GRADUATE SCHOOL OF MANAGEMENT NORTHWESTERN UNIVERSITY,NORTHWESTERN UNIVERSITY
JL KELLOGG GRADUATE SCHOOL OF MANAGEMENT OF NORTHWESTERN UNIVERSITY,NORTHWESTERN UNIVERSITY
JL ROTMAN SCHOOL OF MANAGMENT UNIVERSITY OF TORONTO,UNIVERSITY OF TORONTO
JLG RESEARCH HUMAROCK,JLG RESEARCH HUMAROCK
JOHANN WOLFGANG GOE THE-UNIVERSITAT,UNIVERSITY OF FRANKFURT
JOHANN WOLFGANG GOETHE UNIVERSITY,UNIVERSITY OF FRANKFURT
JOHANN WOLFGANG GOETHE UNIVERSITY (FRANKFURT),UNIVERSITY OF FRANKFURT
JOHANN WOLFGANG GOETHE-UNIVERSITAT,UNIVERSITY OF FRANKFURT
JOHANN WOLFGANG GOETHE-UNIVERSITAT E-FINANCE LAB,UNIVERSITY OF FRANKFURT
JOHANN WOLFGANG GOETHE-UNIVERSITAT FRANKFURT,UNIVERSITY OF FRANKFURT
JOHANN WOLFGANG GOETHE-UNIVERSITY,UNIVERSITY OF FRANKFURT
JOHANN WOLFGANG GOETHE-UNIVERSITY FRANKFURT AM MAIN,UNIVERSITY OF FRANKFURT
JOHANN-WOLFGANG GOETHE UNIVERSITAT FRANKFURT AM MAIN,UNIVERSITY OF FRANKFURT
JOHANN-WOLFGANG-VON-GOETHE UNIVERSITAT FRANKFURT,UNIVERSITY OF FRANKFURT
JOHANNES GUTENBERG UNIVERSITY,UNIVERSITY OF MAINZ
JOHANNES GUTENBERG UNIVERSITY MAINZ,UNIVERSITY OF MAINZ
JOHANNES GUTENBERG-UNIVERSITAT MAINZ,UNIVERSITY OF MAINZ
JOHANNES KEPLER UNIVERSITY,JOHANNES KEPLER UNIVERSITY
JOHANNES-GUTENBERG UNIVERSITAT MAINZ,UNIVERSITY OF MAINZ
JOHANNESBURG,UNIVERSITY OF JOHANNESBURG
JOHN CABOT UNIVERSITY,JOHN CABOT UNIVERSITY
JOHN CABOT UNIVERSITY ROME,JOHN CABOT UNIVERSITY
JOHN CARROLL UNIVERSITY,JOHN CARROLL UNIVERSITY
JOHN COOK SCHOOL OF BUSINESS SAINT LOUIS UNIVERSITY,SAINT LOUIS UNIVERSITY
JOHN E ANDERSON GRADUATE SCHOOL OF MANAGEMENT UNIVERSITY OF CALIFORNIA AT LOS ANGELES,"UNIVERSITY OF CALIFORNIA, LOS ANGELES"
JOHN E ANDERSON SCHOOL OF MANAGEMENT UNIVERSITY OF CALIFORNIA AT LOS ANGELES,"UNIVERSITY OF CALIFORNIA, LOS ANGELES"
JOHN E WALKER DEPARTMENT OF ECONOMICS CLEMSON UNIVERSITY,CLEMSON UNIVERSITY
JOHN F KENNEDY SCHOOL OF GOVERNMENT HARVARD UNIVERSITY,HARVARD UNIVERSITY
JOHN F KENNEDY SCHOOL OF GOVERNMENT OF HARVARD UNIVERSITY,HARVARD UNIVERSITY
JOHN HOPKINS,JOHNS HOPKINS UNIVERSITY
JOHN M OLIN BUSINESS SCHOOL WASHINGTON UNIVERSITY IN ST LOUIS,WASHINGTON UNIVERSITY
JOHN M OLIN SCHOOL OF BUSINESS,WASHINGTON UNIVERSITY
JOHN M OLIN SCHOOL OF BUSINESS WASHINGTON UNIVERSITY,WASHINGTON UNIVERSITY
JOHN M OLIN SCHOOL OF BUSINESS WASHINGTON UNIVERSITY IN SAINT LOUIS,WASHINGTON UNIVERSITY
JOHN M OLIN SCHOOL OF BUSINESS WASHINGTON UNIVERSITY IN ST LOUIS,WASHINGTON UNIVERSITY
JOHN MOLSON SCHOOL OF BUSINESS CONCORDIA UNIVERSITY,CONCORDIA UNIVERSITY
JOHNS HOPKINS,JOHNS HOPKINS UNIVERSITY
JOHNS HOPKINS UNIVERSITY,JOHNS HOPKINS UNIVERSITY
JOHNSON GRADUATE SCHOOL OF MANAGEMENT,JOHNS HOPKINS UNIVERSITY
JOHNSON GRADUATE SCHOOL OF MANAGEMENT AT CORNELL UNIVERSITY,CORNELL UNIVERSITY
JOHNSON GRADUATE SCHOOL OF MANAGEMENT CORNELL UNIVERSITY,CORNELL UNIVERSITY
JOHNSON GRADUATE SCHOOL OF MANAGEMENT DEPARTMENT OF FINANCE CORNELL UNIVERSITY,CORNELL UNIVERSITY
JOHNSON SCHOOL CORNELL UNIVERSITY,CORNELL UNIVERSITY
JOHNSON SCHOOL OF MANAGEMENT CORNELL UNIVERSITY,CORNELL UNIVERSITY
JOHNSTON GRADUATE SCHOOL OF MANAGEMENT CORNELL UNIVERSITY,CORNELL UNIVERSITY
JOINT DIJON-SORBONNE UNIVERSITIES WORKSHOP,UNIVERSITY OF BURGUNDY-UNIVERSITY OF PARIS I (JOINT)
JOINT RESEARCH CENTRE OF THE EUROPEAN COMMISSION,EUROPEAN COMMISSION
JOINT WORLD BANK/IMF SEMINAR,IMF-WORLD BANK (JOINT)
JONES GRADUATE SCHOOL OF ADMINISTRATION RICE UNIVERSITY,RICE UNIVERSITY
JONES GRADUATE SCHOOL OF BUSINESS RICE UNIVERSITY,RICE UNIVERSITY
JONES GRADUATE SCHOOL OF MANAGEMENT AT RICE UNIVERSITY,RICE UNIVERSITY
JONES GRADUATE SCHOOL OF MANAGEMENT RICE UNIVERSITY,RICE UNIVERSITY
JONES GRADUATE SCHOOL RICE UNIVERSITY,RICE UNIVERSITY
JONES SCHOOL OF MANAGEMENT RICE UNIVERSITY,RICE UNIVERSITY
JONKOPING,UNIVERSITY OF JONKOPING
JOSEPH KEATING SJ DISTINGUISHED PROFESSOR FORDHAM UNIVERSITY,FORDHAM UNIVERSITY
JOSEPH L ROTMAN SCHOOL OF MANAGEMENT,FORDHAM UNIVERSITY
JOSEPH L ROTMAN SCHOOL OF MANAGEMENT UNIVERSITY OF TORONTO,UNIVERSITY OF TORONTO
JOSEPH M KATZ GRADUATE SCHOOL OF BUSINESS UNIVERSITY OF PITTSBURGH,UNIVERSITY OF PITTSBURGH
JOSEPH ROTMAN SCHOOL OF MANAGEMENT UNIVERSITY OF TORONTO,UNIVERSITY OF TORONTO
JP MORGAN,J.P. MORGAN
JP MORGAN CHASE NEW YORK,"J.P. MORGAN, NEW YORK"
JP MORGAN INVESTMENT MANAGEMENT INC,J.P. MORGAN
JP MORGAN-CHASE EMERGING MARKET BOND TRADING DESK,J.P. MORGAN
JPMORGAN,J.P. MORGAN
JPMORGAN,J.P. MORGAN
JPMORGAN CHASE,J.P. MORGAN
JSPS RESEARCH FELLOW GRADUATE SCHOOL OF SOCIAL SCIENCES TOKYO METROPOLITAN UNIVERSITY,TOKYO METROPOLITAN UNIVERSITY
JUDGE BUSINESS SCHOOL CAMBRIDGE UNIVERSITY,UNIVERSITY OF CAMBRIDGE
JUDGE BUSINESS SCHOOL TRUMPINGTON STREET,UNIVERSITY OF CAMBRIDGE
JUDGE BUSINESS SCHOOL UNIVERSITY OF CAMBRIDGE,UNIVERSITY OF CAMBRIDGE
JUDGE INSTITUTE (CAMBRIDGE) SOAS,UNIVERSITY OF CAMBRIDGE
JUDGE INSTITUTE AT CAMBRIDGE UNIVERSITY,UNIVERSITY OF CAMBRIDGE
JUDGE INSTITUTE OF MANAGEMENT AT CAMBRIDGE,UNIVERSITY OF CAMBRIDGE
JUSTUS-LIEBIG UNIVERSITY GIESSEN,UNIVERSITY OF GIESSEN
JUSTUS-LIEBIG-UNIVERSITAT GIESSEN,UNIVERSITY OF GIESSEN
JW VON GOETHE UNIVERSITAT (FRANKFURT),UNIVERSITY OF FRANKFURT
K U LEUVEN,KATHOLIEKE UNIVERSITEIT LEUVEN
KAGAWA UNIVERSITY,KAGAWA UNIVERSITY
KAIST,KOREA ADVANCED INSTITUTE OF SCIENCE AND TECHNOLOGY
KAIST BUSINESS SCHOOL,KOREA ADVANCED INSTITUTE OF SCIENCE AND TECHNOLOGY
KAIST GRADUATE SCHOOL OF FINANCE KOREA ADVANCED INSTITUTE OF SCIENCE AND TECHNOLOGY,KOREA ADVANCED INSTITUTE OF SCIENCE AND TECHNOLOGY
KAIST SOUTH KOREA,KOREA ADVANCED INSTITUTE OF SCIENCE AND TECHNOLOGY
KAMAKURA CORPORATION,KAMAKURA CORPORATION
KANSAI UNIVERSITY,KANSAI UNIVERSITY
KANSAS,UNIVERSITY OF KANSAS
KANSAS CITY FED,FEDERAL RESERVE BANK OF KANSAS CITY
KANSAS CITY FEDERAL RESERVE BANK,FEDERAL RESERVE BANK OF KANSAS CITY
KANSAS STATE,KANSAS STATE UNIVERSITY
KANSAS STATE UNIVERSITY,KANSAS STATE UNIVERSITY
KAO YUAN UNIVERSITY DEPARTMENT OF INTERNATIONAL BUSINESS,KAO YUAN UNIVERSITY
KAPPEL CHAIR IN BUSINESS AND GOVERNMENT FINANCE DEPARTMENT UNIVERSITY OF MINNESOTA,UNIVERSITY OF MINNESOTA
KARL-FRANZENS UNIVERSITY GRAZ,UNIVERSITY OF GRAZ
KARLSRUHE UNIVERSITY,UNIVERSITY OF KARLSRUHE
KARLSTAD UNIVERSITY,KARLSTAD UNIVERSITY
KATHOLIEKE UNIVERSITEIT DE LEUVEN,KATHOLIEKE UNIVERSITEIT LEUVEN
KATHOLIEKE UNIVERSITEIT LEUVEN,KATHOLIEKE UNIVERSITEIT LEUVEN
KATHOLIEKE UNIVERSITEIT LEUVEN AFI LEUVEN RESEARCH CENTER,KATHOLIEKE UNIVERSITEIT LEUVEN
KATHOLIEKE UNIVERSITEIT LEUVEN FACULTY OF ECONOMIC AND APPLIED ECONOMIC SCIENCES DEPARTMENT OF ECONOMICS,KATHOLIEKE UNIVERSITEIT LEUVEN
KATZ GRADUATE SCHOOL OF BUSINESS UNIVERSITY OF PITTSBURGH,UNIVERSITY OF PITTSBURGH
KATZ SCHOOL OF BUSINESS UNIVERSITY OF PITTSBURGH,UNIVERSITY OF PITTSBURGH
KAUFFMAN FOUNDATION,KAUFFMAN FOUNDATION
KBC ASSET MANAGEMENT,KBC ASSET MANAGEMENT
KDI SCHOOL,KDI SCHOOL OF PUBLIC POLICY AND MANAGEMENT
KDI SCHOOL OF PUBLIC POLICY AND MANAGEMENT,KDI SCHOOL OF PUBLIC POLICY AND MANAGEMENT
KEELE,KEELE UNIVERSITY
KEELE UNIVERSITY,KEELE UNIVERSITY
KEIO UNIVERSITY,KEIO UNIVERSITY
KELLEY SCHOOL OF BUSINESS,INDIANA UNIVERSITY
KELLEY SCHOOL OF BUSINESS (INDIANA UNIVERSITY),INDIANA UNIVERSITY
KELLEY SCHOOL OF BUSINESS AT INDIANA UNIVERSITY,INDIANA UNIVERSITY
KELLEY SCHOOL OF BUSINESS INDIANA UNIVERSITY,INDIANA UNIVERSITY
KELLEY SCHOOL OF BUSINESS INDIANAPOLIS INDIANA UNIVERSITY,INDIANA UNIVERSITY
